timestamp,core_node_cpu,core_node_memory,core_node_tx,core_node_rx,core_node_latency,core_node_cost,mec_node_cpu,mec_node_memory,mec_node_tx,mec_node_rx,mec_node_latency,mec_node_cost,kube_app_server_cpu,kube_app_server_memory,kube_app_server_tx,kube_app_server_rx,kube_app_server_latency,kube_app_server_cost,ue_count,ue_ids,avg_cqi,avg_dl_bitrate,avg_ul_bitrate,avg_dl_mcs,avg_ul_mcs,avg_epre,avg_pusch_snr,avg_ul_path_loss
1760523156.307406,21.349999999999724,33.87705944503587,200862.13333333333,177841.06666666665,1.0,4,22.943549731586486,48.02413957031724,16060.284752092293,5382.681471107999,1.0,4,19.65555555555511,64.59502902454454,5337.066666666667,97947.73333333334,1.0,4,2,"1,2",15.0,3736.5,0.0,26.65,0.0,-101.35,10.8,63.25
1760523161.775573,21.349999999999724,33.87705944503587,200862.13333333333,177841.06666666665,1.0,4,22.943549731586486,48.02413957031724,16060.284752092293,5382.681471107999,1.0,4,19.65555555555511,64.59502902454454,5337.066666666667,97947.73333333334,1.0,4,0,,0,0,0,0,0,0,0,0
1760523167.031828,23.72613056953401,34.351812830924274,810185.0901456326,768853.9340820477,1.0,4,22.943549731586486,48.02413957031724,16060.284752092293,5382.681471107999,1.0,4,19.65555555555511,64.59502902454454,5337.066666666667,97947.73333333334,1.0,4,0,,0,0,0,0,0,0,0,0
1760523172.335848,23.72613056953401,34.351812830924274,810185.0901456326,768853.9340820474,1.0,4,22.943549731586486,48.02413957031724,16060.284752092293,5382.681471107999,1.0,4,18.38888888888909,64.72911088211539,11330.666666666666,101756.26666666669,1.0,4,1,1,15.0,6580.0,0.0,24.0,0.0,-97.7,14.5,60.1
1760523177.613688,23.72613056953401,34.351812830924274,810185.0901456326,768853.9340820474,1.0,4,21.11666666666641,47.65237904853971,15887.733333333334,1886.1333333333332,1.0,4,18.38888888888909,64.72911088211539,11330.66666666667,101756.26666666666,1.0,4,3,"1,2,3",15.0,4396.666666666667,0.0,25.0,0.0,-105.8,6.133333333333333,68.6
1760523182.899864,23.72613056953401,34.351812830924274,810185.0901456326,768853.9340820474,1.0,4,21.11666666666641,47.65237904853971,15887.733333333334,1886.1333333333332,1.0,4,18.38888888888909,64.72911088211539,11330.666666666666,101756.26666666666,1.0,4,3,"1,2,3",15.0,2362.0,0.0,25.0,0.0,-106.76666666666665,5.166666666666667,69.39999999999999
1760523188.382692,23.72613056953401,34.351812830924274,810185.0901456326,768853.9340820474,1.0,4,21.11666666666641,47.65237904853971,15887.733333333334,1886.1333333333332,1.0,4,18.38888888888909,64.72911088211539,11330.666666666666,101756.26666666666,1.0,4,2,"1,2",11.5,3642.5,0.0,25.0,0.0,-104.0,9.600000000000001,62.5
1760523193.691919,23.72613056953401,34.351812830924274,810185.0901456326,768853.9340820474,1.0,4,21.11666666666641,47.65237904853971,15887.733333333334,1886.1333333333332,1.0,4,18.38888888888909,64.72911088211539,11330.666666666666,101756.26666666666,1.0,4,2,"1,2",13.5,4416.0,5647.5,25.15,4.5,-102.95,11.0,63.099999999999994
1760523198.947954,23.857233354448873,34.03534386166042,715274.364018271,673633.9812622946,1.0,4,21.11666666666641,47.65237904853971,15887.733333333334,1886.1333333333332,1.0,4,18.38888888888909,64.72911088211539,11330.666666666666,101756.26666666666,1.0,4,3,"1,2,3",15.0,3829.0,319.6666666666667,25.733333333333334,3.5666666666666664,-104.16666666666667,8.566666666666666,68.56666666666668
1760523204.131573,23.857233354448894,34.03534386166042,715274.364018271,673633.9812622946,1.0,4,21.11666666666641,47.65237904853971,15887.733333333334,1886.1333333333332,1.0,4,20.750735743239847,64.28707840804651,17098.117607862736,112932.33383308347,1.0,4,3,"1,2,3",15.0,3354.0,264.0,26.266666666666666,3.0,-106.3,7.166666666666667,68.9
1760523209.349436,23.857233354448894,34.03534386166042,715274.364018271,673633.9812622946,1.0,4,21.783333333333225,47.31681992588659,16115.199999999999,5507.2,1.0,4,20.750735743239847,64.28707840804651,17098.117607862736,112932.33383308347,1.0,4,1,1,15.0,10090.0,19319.0,26.9,12.1,-98.4,14.4,55.6
1760523214.564629,23.857233354448873,34.03534386166042,715274.364018271,673633.9812622946,1.0,4,21.783333333333225,47.31681992588659,16115.199999999999,5507.2,1.0,4,20.750735743239847,64.28707840804651,17098.117607862736,112932.33383308347,1.0,4,1,1,15.0,5531.0,8764.0,26.8,11.2,-99.0,14.4,62.1
1760523219.885827,23.857233354448873,34.03534386166042,715274.364018271,673633.9812622946,1.0,4,21.783333333333225,47.31681992588659,16115.199999999999,5507.2,1.0,4,20.750735743239847,64.28707840804651,17098.117607862736,112932.33383308347,1.0,4,1,1,15.0,3610.0,0.0,26.8,0.0,-99.0,14.4,62.1
1760523225.216117,23.857233354448873,34.03534386166042,715274.364018271,673633.9812622946,1.0,4,21.783333333333225,47.31681992588659,16115.199999999999,5507.2,1.0,4,20.750735743239847,64.28707840804651,17098.117607862736,112932.33383308347,1.0,4,1,1,15.0,3207.0,0.0,26.8,0.0,-102.4,12.8,80.2
1760523230.398887,22.539904695258265,34.19392787024074,608513.7125529008,574965.9102269319,1.0,4,21.783333333333225,47.31681992588659,16115.199999999999,5507.2,1.0,4,20.750735743239847,64.28707840804651,17098.117607862736,112932.33383308347,1.0,4,2,"1,2",15.0,3038.0,0.0,25.9,0.0,-104.65,9.0,71.5
